"HolderAddress","Balance","PendingBalanceUpdate"
"0x7467e97130809c5e7c48e0e0f160df83cce9d3c8","585,101.647626331317124986","No"
"0x5776944d4c3183687bc48a465ac3bd7f7a3773dd","582,526.358938306805692468","No"
"0x872bd30ab36fa5b7728fa5416f9e2f8c5b1061ef","580,738.961151695940698561","No"
"0x1abeb80ffc8b14f677e8bf8a67c57fe9cb07461d","576,505.23974662854122951","No"
"0x2461082a68224a5caa25e02f258b2e3259d637d6","561,358.297006429216679508","No"
"0x634e7133dc0c827a9cca98715f63783bdce241b1","558,477.990794793621554673","No"
"0x5ea9ccef88538cfbb0aa3976fafb51dcab847e10","555,112.347459385498072373","No"
"0x2358b418448ec4ab15c8987ce3025b61a3b1f9f0","551,901.316319848550342566","No"
"0x517323f4ddd303e0fc747df9df16dd895d2170cf","549,911.208102766044880612","No"
"0x77c519b3625946142d2e903aec4a8b0f525bba1c","542,602.274527399401347934","No"
"0xca359b0b01a16a18942c98ddbf73fe94f727c459","538,005.256212980807710096","No"
"0x06aad2c1199079c0c9c775ccfa078a52b225dfac","537,997.776959706620012968","No"
"0x2e90d47e801539d5f43d95f772ba32ef32cb378b","532,236.848701120021807598","No"
"0xf5619be9a9eec427ec05645b9979ac44a069dac7","528,758.081981933007","No"
"0xfd61cef0879dafb9ebfabe59b8e25d221821c722","525,707.399505376233097425","No"
"0x35f0f5646f399cc36f2e4003bbcd557f334836e1","524,899.253188583807097444","No"
"0x90ac4d3e3e21db847bf908892936cfc911e1de61","518,185.926630048234824711","No"
"0x7f28c8e6fc4b46922343854570097cf789746060","509,538","No"
"0xd56b8a24032ee6a39bba357fd28cb68e8ec0a82f","508,930.811001801414966271","No"
"0x69472e8fc26deb5c6c2bc50c319621d336deb9a2","505,724.031763555673437268","No"
"0x0c30cb57ce0ef739433ea8c5e2ee0ecc4d3417ac","504,588.610144899487160645","No"
"0x3360f9d84ba5109869f50dec347143e917ed1ead","500,000.627091165085663284","No"
"0x2f4155398cb4572e65d3fe52448e6f1497aa7dfa","500,000.286838768771507557","No"
"0xe252bf2242c8959b280b2344e924bdc6be2ddb57","500,000","No"
"0xb18b4ab551c4b8cdb3fcb57c9a30e953c3991748","500,000","No"
"0xd23b06012790e2d8e01a7607127588b609c27f0c","496,451.147050059976789926","No"
"0xf92c90eff071385c622baede2167fbc24b22eac1","491,569.755530266019064188","No"
"0x9f0716bf7e4a4e19867599a54f1108e0c11fec98","490,518.154744665255302454","No"
"0xeab672f1b263968a421165813ce3be3715339840","488,842.45984257534221392","No"
"0x123432244443b54409430979df8333f9308a6040","488,409.882388858998697418","No"
"0x13224d02780f13214b6f2b293c18f74e2ded2122","487,246.318684764008194832","No"
"0x80d606db71ac663c5b990b6acf4108ef28b76f25","485,388.381371368274017134","No"
"0x2625b4da309819cb8b5eb8aee13c86ad0e097ef6","475,263.48907108039212356","No"
"0xe8ce666bc2f60a598684476c554ae450a2f6f228","474,978.683538472370871545","No"
"0xae8c6f8549b481e93583e4872d6d6a579210c7e0","473,908.319098434819768116","No"
"0x6dc45c84d65c3cd203c2a39e18d75942cef4203a","473,693.172615027245808467","No"
"0x2d5755ae076fdd6728fabd5a6ccb6e20f6bf81eb","470,588.360087391198174413","No"
"0x25ebada90335af5d681a3ec509abf5c930efa08c","469,717.148014755814725506","No"
"0xe638d7fbf960eb5486da18a6a94b7aa377db957a","466,898.153696866007101494","No"
"0xdcf184d9e83c045d06ce1ab4220f1d63f4793504","451,340.971076213713378526","No"
"0xf351a073aac985776e810498f58134199361432c","450,572.40353885139274415","No"
"0x4d3b70f9156d85f4af4040d21a0a7bf956ce7e5d","447,272.511584010727160755","No"
"0x658d715a2fec23391b1daaf4883ef8bea8f549dd","443,750.229890567201442327","No"
"0x04900dd1df7047484ab09378b3236a881c408be0","442,428.062328619410946318","No"
"0x825853aed453e8c4201adcbaa9384d62abbd7dee","423,260.660561319692660566","No"
"0x7015cf2d3cdc93452d86622eb805e9b13040da64","422,390.087247419754084302","No"
